round,mean_train_loss,mean_train_accuracy,mean_test_loss,mean_test_accuracy,total_train_examples,num_agents,num_encounters,unpaired_agents,agents_with_cache,mean_cache_entries_before_local_update,stale_evictions,capacity_evictions,cached_models_received
1,0.6270324786653136,0.7132713271327132,0.7202361113166809,0.5,19998,10,5,0,0,0.0,0,0,10
2,0.593588715959208,0.7121212121212122,0.729132693195343,0.5,19998,10,5,0,10,1.0,0,0,10
3,0.5695900712722969,0.7243724372437244,0.7530726877880096,0.49664,19998,10,5,0,10,2.0,0,0,10
4,0.5708591114692013,0.7184718471847185,0.7317958085250854,0.5,19998,10,5,0,10,2.8,0,6,10
5,0.5722476925091012,0.7208220822082209,0.7450267851829528,0.5,19998,10,5,0,10,3.0,0,6,10
6,0.5745270476736227,0.7153215321532154,0.7764243044376372,0.49632000000000004,19998,10,5,0,10,3.0,0,4,10
7,0.5700903222879858,0.7198219821982198,0.7854208532142638,0.5,19998,10,5,0,10,3.0,0,6,10
8,0.5704480435336717,0.7044704470447045,0.7780813483285903,0.49564,19998,10,5,0,10,3.0,0,4,10
9,0.5652387980332594,0.7060706070607061,0.7429500365638733,0.49512,19998,10,5,0,10,3.0,0,6,10
10,0.56925099124216,0.701070107010701,0.8006756120300293,0.49892000000000003,19998,10,5,0,10,2.9,1,3,10
11,0.5646505587139015,0.7053205320532053,0.73575755484581,0.4940399999999999,19998,10,5,0,10,3.0,0,8,10
12,0.5686455339995107,0.6956695669566957,0.7852225269794465,0.4986,19998,10,5,0,10,2.9,1,9,10
13,0.5612485948963092,0.7077707770777077,0.7209778173923491,0.50072,19998,10,5,0,10,3.0,0,8,10
14,0.5685065570704215,0.6926692669266926,0.8017690682458877,0.5001599999999999,19998,10,5,0,10,3.0,0,8,10
15,0.5575411727960997,0.7012201220122012,0.835485752477646,0.49704,19998,10,5,0,10,3.0,0,6,10
16,0.5511075833163904,0.7027702770277028,0.7707476318073272,0.4998,19998,10,5,0,10,3.0,0,10,10
17,0.546901539541652,0.7097709770977098,0.8540877401518822,0.5,19998,10,5,0,10,3.0,0,8,10
18,0.5433687175424656,0.7126212621262126,0.8673967768907547,0.49820000000000003,19998,10,5,0,10,3.0,0,6,10
19,0.5449321041594704,0.7111711171117112,0.8599290501546861,0.49908,19998,10,5,0,10,3.0,0,5,10
20,0.5433304126645745,0.7136213621362136,0.7032138417816162,0.5005200000000001,19998,10,5,0,10,3.0,0,8,10
21,0.5511285386821612,0.7092709270927092,0.7555951859188081,0.4998,19998,10,5,0,10,3.0,0,6,10
22,0.5537257319462873,0.7075707570757076,0.8589675308084489,0.50012,19998,10,5,0,10,3.0,0,8,10
23,0.549622484166516,0.7096209620962096,0.7420008385562895,0.49972000000000005,19998,10,5,0,10,3.0,0,6,10
24,0.5474740831154024,0.7115711571157116,0.8756277969121934,0.49944,19998,10,5,0,10,3.0,0,8,10
25,0.5409766076150725,0.7180718071807181,0.8511952367544176,0.5001599999999999,19998,10,5,0,10,3.0,0,10,10
26,0.539330185370052,0.7208720872087209,0.8895092579984667,0.50032,19998,10,5,0,10,3.0,0,8,10
27,0.5391554308875259,0.7152715271527152,0.8831492372179032,0.5,19998,10,5,0,10,3.0,0,6,10
28,0.5352443810025177,0.7202220222022202,0.8281408186769486,0.49976000000000004,19998,10,5,0,10,3.0,0,5,10
29,0.538223366834002,0.7192719271927193,0.886290854666233,0.5,19998,10,5,0,10,3.0,0,8,10
30,0.5371673687179834,0.7202220222022202,0.7161120858669281,0.49992000000000003,19998,10,5,0,10,3.0,0,10,10
31,0.5437989744654607,0.7127212721272127,0.768088190984726,0.50064,19998,10,5,0,10,3.0,0,6,10
32,0.5443968262705225,0.7142714271427143,0.8346284226989745,0.5,19998,10,5,0,10,3.0,0,8,10
33,0.544931677970836,0.713021302130213,0.8339969297981262,0.5,19998,10,5,0,10,3.0,0,7,10
34,0.5448560357685819,0.7155215521552155,0.9342846340131759,0.49992000000000003,19998,10,5,0,10,3.0,0,6,10
35,0.5386335148646234,0.7144714471447144,0.806294677696228,0.49932,19998,10,5,0,10,3.0,0,5,10
36,0.5387275295300592,0.714921492149215,0.7558779811191559,0.50012,19998,10,5,0,10,2.9,1,4,10
37,0.539097909973857,0.7135713571357136,0.8886243233907223,0.49984,19998,10,5,0,10,2.9,0,5,10
38,0.5422403449233626,0.7132713271327132,0.796410072078705,0.5001599999999999,19998,10,5,0,10,2.9,0,7,10
39,0.5404842840452673,0.7159715971597159,0.8630339674043654,0.50092,19998,10,5,0,10,3.0,0,8,10
40,0.5376018250089298,0.716021602160216,0.8659690123653412,0.5,19998,10,5,0,10,3.0,0,10,10
41,0.5397090989101951,0.7156715671567156,0.8988784266948698,0.5,19998,10,5,0,10,3.0,0,6,10
42,0.5367467601354471,0.7204220422042205,0.8129513152503968,0.5007999999999999,19998,10,5,0,10,3.0,0,6,10
43,0.5378374605350095,0.7186218621862186,1.002328198940754,0.5,19998,10,5,0,10,3.0,0,6,10
44,0.5325276161230976,0.7238723872387238,0.8147396842360497,0.5013599999999999,19998,10,5,0,10,3.0,0,5,10
45,0.5347692055741057,0.7214221422142214,0.7736270724487303,0.5042,19998,10,5,0,10,3.0,0,6,10
46,0.5362999866030949,0.7191719171917191,0.7950869634675981,0.50244,19998,10,5,0,10,3.0,0,10,10
47,0.5396708322787481,0.7177717771777178,0.8748623328399656,0.4998,19998,10,5,0,10,3.0,0,6,10
48,0.5396036673968722,0.7173217321732174,0.8725925820350648,0.5,19998,10,5,0,10,3.0,0,8,10
49,0.5376823022827493,0.7178217821782178,0.9843924389672282,0.50448,19998,10,5,0,10,3.0,0,10,10
50,0.5324042529300458,0.7218221822182218,0.9357392308962345,0.49976000000000004,19998,10,5,0,10,3.0,0,6,10
